#Node	Node type
CXCL2	source
HMGCR	source
MMP1	source
PTGS2	source
S100A4	source
TLR4	source
VAV3	source
MAPK4	target
VIP	target
G6PD	target
HLA-DQB1	target
BHLHE40	target
CSF1	target
JUND	target
HSPA1A	target
ATF3	target
PAX2	target
HTR4	target
GLP1R	target
TSC2	target
HERC2	target
SLC15A1	target
SAG	target
IL17A	target
DRD2	target
TFPI	target
ITIH3	target
KCNIP1	target
IL2	target
HOXD1	target
PRKACB	target
COQ2	target
AGTR1	target
EIF4E	target
MAPK7	target
PDE1A	target
EPHA5	target
CALM1	target
PDE6B	target
MAD1L1	target
ANXA1	target
COIL	target
NR2C1	target
KCNMB1	target
QPRT	target
TSHB	target
FKBP4	target
MCPH1	target
FZD3	target
HIF1A	target
ARAF	target
CAPG	target
MST1	target
EPHA6	target
GRK4	target
TSC1	target
SULT1A1	target
NUP50	target
ESRRA	target
AKR1C1	target
FLCN	target
FOXA3	target
EIF4E2	target
CCK	target
ITGAM	target
CACNA1I	target
BAG6	target
KLK3	target
CEP72	target
ADRA2A	target
PRKX	target
MAML3	target
PDCD4	target
GATA2	target
FGD4	target
SLC15A2	target
CREBBP	target
PI3	target
NTS	target
EGR2	target
FKBP1A	target
NFE2	target
PLEKHH2	target
LTA	target
KCNA4	target
GRB2	target
PIP	target
CALY	target
SLC12A3	target
CEL	target
LPA	target
CCN2	target
LIPA	target
FMO1	target
AGT	target
ZNF423	target
HOXB1	target
POLR1HASP	target
HTR2A	target
ALK	target
ACKR1	target
PDE6A	target
OCLN	target
NRIP1	target
PTGS1	target
ICMT	target
SLCO4C1	target
SCN5A	target
CACNA1G	target
SREBF1	target
TFF3	target
FUS	target
CCNE1	target
KCNJ1	target
TUBA1A	target
CHRM1	target
ALPP	target
SCAP	target
PRL	target
RARRES1	target
LTA4H	target
FLT1	target
TNFRSF10A	target
PON1	target
P2RY12	target
TLR7	target
TEK	target
LIPC	target
PDE1B	target
XDH	target
BTF3P11	target
LRMDA	target
RXRA	target
CYP1A2	target
FDFT1	target
HAS3	target
CST3	target
RRAS2	target
F2RL1	target
USP24	target
SYK	target
PRRC2A	target
GDNF	target
HNF1A	target
COP 1	target
NR1I2	target
SYNE2	target
NOS1AP	target
RBL2	target
EIF4EBP1	target
PLD1	target
ZNF542P	target
OPRK1	target
NPY	target
EPHX2	target
TRH	target
HSPA5	target
MDK	target
SKOR2	target
BAHD1	target
TUBB4B	target
AOC1	target
ASS1	target
TIGD1	target
PHEX	target
AQP4	target
AOX1	target
ERVK2	target
USP1	target
EPM2A	target
GJA1	target
PLIN1	target
PDE6H	target
MRPL47	target
GFRA2	target
FMO3	target
PMP22	target
NNMT	target
SLC19A1	target
HSPA1L	target
EML4	target
NFE2L2	target
ATP1A1	target
CD80	target
KLF5	target
PDE6C	target
PDE6D	target
ARHGEF10	target
TBC1D1	target
SNAP91	target
ADRA1A	target
CYP1B1	target
APC	target
LINC00473	target
NKAIN3	target
OXT	target
COCH	target
AFG2A	target
TRIB3	target
CHD4	target
PDE6G	target
PLD2	target
POLA1	target
PDE1C	target
PLAU	target
IDE	target
HES1	target
MAPK6	target
CR2	target
TFAP2A	target
HDAC6	target
H2AC25	target
FZD1	target
STAT3	target
CACNA2D1	target
CACNG1	target
ZHX2	target
HPSE	target
DSCAM	target
PDGFRB	target
ODC1	target
CYP3A5	target
PPT1	target
KCNJ5	target
